proj	ts	deg	stage	art	seq	rid	pass	cls	esc	rat
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-COH-CALLER-DRIFT	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-COH-CONFIG-DANGLING	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-COH-DEAD-IMPORT	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-COH-REGISTRY-MISSING	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-COH-TASK-CONTRADICTION	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-1-command-file	1	R-X	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-2-plugin-bump-docs	1	R-COH-CALLER-DRIFT	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-2-plugin-bump-docs	1	R-COH-CONFIG-DANGLING	1	blocking	0	-
PRPs-agentic-eng	2026-05-18T00:00:00Z	0	code-review	relay-commit-command-phase-2-plugin-bump-docs	1	R-COH-DEAD-IMPORT	1	blocking	0	-
